+proj=utm +zone=18 +ellps=WGS84 +datum=WGS84 +units=m +no_defs	
604270.93	520473.23	2571.985596	1943.76	1298.81	DJI_0190.JPG	p3
604270.93	520473.23	2571.985596	1921.31	1459.04	DJI_0191.JPG	p3
604270.93	520473.23	2571.985596	1960.46	1800.39	DJI_0192.JPG	p3
604301.49	520515.06	2574.974609	1244.69	1586.95	DJI_0241.JPG	p2
604301.49	520515.06	2574.974609	2369.20	1059.63	DJI_0269.JPG	p2
604301.49	520515.06	2574.974609	2330.80	306.68	DJI_0267.JPG	p2
604301.49	520515.06	2574.974609	2409.85	1819.32	DJI_0271.JPG	p2
604340.70	520633.41	2580.488525	2284.21	578.69	DJI_0305.JPG	p1
604340.70	520633.41	2580.488525	2365.23	1178.51	DJI_0308.JPG	p1
604340.70	520633.41	2580.488525	2428.06	1711.76	DJI_0311.JPG	p1
604340.70	520633.41	2580.488525	1568.38	1820.38	DJI_0333.JPG	p1
604089.00	520493.33	2577.524658	1673.57	102.57	DJI_0456.JPG	p4
604089.00	520493.33	2577.524658	1627.38	1872.13	DJI_0463.JPG	p4
604089.00	520493.33	2577.524658	1714.45	1211.88	DJI_0459.JPG	p4
604089.00	520493.33	2577.524658	2657.25	1978.38	DJI_0486.JPG	p4
604088.10	520584.20	2593.885254	1041.43	1992.96	DJI_0520.JPG	p5
604088.10	520584.20	2593.885254	3262.98	608.61	DJI_0496.JPG	p5
604088.10	520584.20	2593.885254	987.31	690.69	DJI_0516.JPG	p5
604089.79	520648.44	2573.438477	1860.41	302.52	DJI_0761.JPG	p6
604089.79	520648.44	2573.438477	1861.80	869.43	DJI_0763.JPG	p6
